Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2021-03-05,0.4623413074,0.4816096161,0.4849336897,0.4465415685
XRP,2021-03-06,0.4616884552,0.4551145758,0.4711201369,0.44978303
XRP,2021-03-07,0.4630809013,0.4629347292,0.4689535038,0.4570037092
XRP,2021-03-08,0.4728723067,0.4656412935,0.4900995131,0.4558129543
XRP,2021-03-09,0.4835824267,0.4740044711,0.484455391,0.4712603054
XRP,2021-03-10,0.4645758491,0.4854761568,0.4889508455,0.4558677867
XRP,2021-03-11,0.4519304746,0.4621001807,0.4645259425,0.440803451
XRP,2021-03-12,0.4373724873,0.452146596,0.4646689756,0.4234540115
XRP,2021-03-13,0.4560565314,0.4393804196,0.4631968175,0.4323071747
XRP,2021-03-14,0.4449926005,0.455952611,0.4594496575,0.4410750238
XRP,2021-03-15,0.4364263991,0.4385116651,0.4475839418,0.4232317815
XRP,2021-03-16,0.4612506821,0.4362866664,0.5215547138,0.4280697172
XRP,2021-03-17,0.4713340637,0.4603299324,0.4822439788,0.4543006704
XRP,2021-03-18,0.4716274597,0.4696995856,0.4905413976,0.4657609377
XRP,2021-03-19,0.4691629998,0.4691738453,0.4751688052,0.4593438068
XRP,2021-03-20,0.5441844904,0.4673679214,0.5503767625,0.4654363439
XRP,2021-03-21,0.5167927099,0.5261267057,0.5469874374,0.4962871862
XRP,2021-03-22,0.5518609296,0.5168988591,0.5999075285,0.5032050767
XRP,2021-03-23,0.5527798962,0.5446788377,0.5967447118,0.5380508352
XRP,2021-03-24,0.4780556352,0.5495260357,0.563186536,0.4539027194
XRP,2021-03-25,0.5144782168,0.4807570744,0.5246004031,0.4573158113
XRP,2021-03-26,0.5537454657,0.5111124974,0.5681051962,0.5109260263
XRP,2021-03-27,0.5553684068,0.5639064961,0.5746056277,0.5345422316
XRP,2021-03-29,0.5457098397,0.5477381399,0.5605555122,0.5398375992
XRP,2021-03-30,0.5609770244,0.5456249964,0.5703711491,0.5434782912
XRP,2021-03-31,0.5636494319,0.5652346701,0.5868801034,0.5590513406
XRP,2021-04-01,0.5602015134,0.5630305798,0.5722810914,0.529053938
XRP,2021-04-02,0.5698067475,0.5698909498,0.5946918324,0.549012692
XRP,2021-04-03,0.5953060602,0.5707794554,0.6090819727,0.5654351006
XRP,2021-04-04,0.5848547594,0.6067804162,0.6414655179,0.5749317764
XRP,2021-04-05,0.6231195883,0.5792488943,0.6266859304,0.5678085223
XRP,2021-04-06,0.9017878569,0.6352438844,0.9385285879,0.6199649975
XRP,2021-04-07,1.0305885961,0.9155255607,1.0999469692,0.8079743764
XRP,2021-04-08,0.9434087225,1.0965071409,1.1086655734,0.8573626911
